Subject	StroopEffect_RT	StroopEffect_ACC	StroopBin
12121	112.45704341454473	0.02777777777777779	5.574074074074074
12122	152.31481481481478	0	5.87037037037037
12123	88.19159544159538	-0.03703703703703709	5.351851851851852
12124	42.71296296296293	0	4.648148148148148
12125	81.93382207251841	-0.04629629629629628	5.981481481481482
12126	-10.263041065482867	-0.03703703703703709	4.777777777777778
12127	36.57098039215691	0.01851851851851849	4.944444444444445
12129	291.8114970904603	-0.00925925925925919	6.12962962962963
12133	171.82185771504862	-0.08333333333333326	7.018518518518518
12135	120.87342767295604	-0.09259259259259267	7.055555555555555
12136	90.8899371069183	-0.03703703703703709	5.888888888888889
12137	64.74272615059078	-0.00925925925925919	5.2407407407407405
12138	182.53046036690887	0.0092592592592593	5.777777777777778
12139	132.18409586056646	-0.05555555555555558	6.444444444444445
12140	66.03547423450334	0.00925925925925919	5.166666666666667
12141	364.1732418524873	-0.16666666666666674	8.833333333333334
12142	244.07340525328334	-0.2037037037037036	9.833333333333334
12143	180.05547169811325	-0.05555555555555558	7.203703703703703
12144	130.60621942697412	-0.01851851851851849	6
12147	303.1747572815534	-0.0092592592592593	7.0754716981132075
12148	441.45000000000005	0	8.907407407407407
12149	75.85064701653482	-0.02777777777777779	5.277777777777778
12150	-39.826785714285734	-0.08333333333333337	5.222222222222222
12154	124.66666666666663	0	5.203703703703703
12155	54.025268258913115	0.0092592592592593	4.574074074074074
12160	311.2924528301886	0	6.092592592592593
12161	144.63032844164923	0.01851851851851849	5.574074074074074
12162	4.953179594689118	0.01851851851851849	4.092592592592593
12163	192.65457943925242	-0.06481481481481477	7.12962962962963
12166	133.34468902865137	-0.01851851851851849	5.055555555555555
12168	91.875	-0.07407407407407407	6.777777777777778
12170	259.8102046537706	-0.06481481481481477	9.849056603773585
12171	306.4139844617092	-0.03703703703703709	8.185185185185185
12172	228.22124370956158	-0.02777777777777779	7.185185185185185
12174	167.50179726815247	-0.02777777777777779	6.444444444444445
12175	266.91124871001034	-0.2407407407407407	10.962962962962964
12176	101.00544662309358	-0.05555555555555558	5.30188679245283
12177	394.43547807332845	-0.02777777777777779	7.5
12178	366.14814814814827	0	7.185185185185185
12179	223.68247978436648	0.0092592592592593	6.314814814814815
12180	120.20692937369131	-0.0092592592592593	6.2592592592592595
12181	120.24880973373297	-0.00925925925925919	5.796296296296297
12183	291.01428571428573	-0.08333333333333337	6.925925925925926
12184	162.7982180293501	-0.01851851851851849	6.185185185185185
12186	77.0161620294599	-0.09259259259259256	7.185185185185185
12187	116.65313390313383	-0.03703703703703709	6.12962962962963
12194	92.52777777777771	0	5.425925925925926
12195	347.51973001038425	0.0092592592592593	4.925925925925926
12202	53.965732087227366	-0.04629629629629628	5.37037037037037
12203	52.78503401360547	-0.06481481481481477	6.055555555555555
12204	152.8475783475783	-0.03703703703703709	6.611111111111111
