Subject	Antisaccade_ACC.mean	Antisaccade_RT.mean
12160	0.4791666666666667	682.8541666666666
12161	0.625	900.9583333333334
12162	0.9583333333333334	396.9583333333333
12163	0.5	955.9166666666666
12166	0.9166666666666666	535.125
12167	0.6041666666666666	1851.3125
12168	0.875	472.7708333333333
12170	0.3958333333333333	745.8333333333334
12171	0.5625	547.1875
12172	0.5625	766.0416666666666
12173	0.625	628.5416666666666
12174	0.6458333333333334	865.7291666666666
12175	0.7083333333333334	592.9791666666666
12176	0.7708333333333334	645.25
12177	0.6666666666666666	727.2916666666666
12178	0.6875	937.5208333333334
12179	0.7083333333333334	596.8333333333334
12180	0.9375	499.7083333333333
12181	0.9583333333333334	462.7708333333333
12183	0	0
12184	0.4375	1228.5416666666667
12186	0.8958333333333334	600.25
12187	0.9375	868.875
12194	0.7291666666666666	884.2708333333334
12195	0.9791666666666666	388.875
12202	0.9583333333333334	526.0416666666666
12203	1	405.8125
12204	0.9583333333333334	379.7708333333333
12207	0.9583333333333334	993.8333333333334
12211	0.8541666666666666	363.875
12216	0.6041666666666666	771.2916666666666
12218	0.9375	299.0833333333333
12220	0.8958333333333334	743.5
12222	0.9375	412.75
12223	0.9375	1299.8958333333333
12225	0.9166666666666666	350.8541666666667
12227	0.8125	773.0208333333334
12230	0.6875	919.0208333333334
12232	0.8333333333333334	478.4583333333333
12235	0.875	482.2708333333333
12236	0.4583333333333333	1132.7708333333333
12237	0.9166666666666666	627.5
12238	0.7708333333333334	685
12239	0.8125	1772.6041666666667
12240	0.6458333333333334	1429.4583333333333
12241	0.8333333333333334	591.1041666666666
12242	0.8541666666666666	757.1875
12243	0.8333333333333334	602.6875
12244	0	0
12245	0.5416666666666666	473.9583333333333
12246	0.7291666666666666	552.3125
12247	0.5833333333333334	708.5833333333334
12249	0.8541666666666666	450.75
12250	0.6041666666666666	896.5
12251	0.7083333333333334	341.9791666666667
12252	0.9791666666666666	443.4375
12253	0.9791666666666666	448.375
12254	0.9583333333333334	420.75
12255	0.9375	420.0833333333333
12256	0.4375	702.9375
12257	1	1131.5625
12258	0.8541666666666666	394.8333333333333
12259	0.4166666666666667	487.4166666666667
12260	0.8333333333333334	566.4583333333334
12261	0.6041666666666666	785.3333333333334
12262	0.6666666666666666	897.2291666666666
12263	0.9583333333333334	548.3125
12264	0.9375	543.7291666666666
12266	0.6041666666666666	1221.5
12267	0.5	860.0208333333334
12269	0.6041666666666666	640.5416666666666
12270	0.7916666666666666	970.1666666666666
12271	0.9166666666666666	399.8125
12272	0.9583333333333334	563.0208333333334
12274	0.75	668.2291666666666
12275	0.7708333333333334	662.5625
12280	0.3541666666666667	1169.3958333333333
12282	0.9583333333333334	562.7708333333334
12284	0.7291666666666666	479.7916666666667
12285	0.4583333333333333	364.7291666666667
12287	0.875	512.5625
12288	0.9166666666666666	398.9375
12290	0.4791666666666667	573.9791666666666
12291	0.9791666666666666	589.3333333333334
12292	0.7916666666666666	608
12293	0.5208333333333334	553.3958333333334
12294	0.6666666666666666	585.4791666666666
12295	0.7916666666666666	1153.8541666666667
12296	0.7083333333333334	762.4791666666666
12298	0.7708333333333334	587.9166666666666
12300	0.8958333333333334	548.3333333333334
12301	0.8125	2320.5
